,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h
06-07-AH,42.63,43.43,43.12,41.25,41.66,39.28,40.99,41.81,40.33,41.46,38.6,33.9,41.51,38.71,34.34,35.25,37.05,34.38,38.5,50.11,46.61,54.75,58.02,59.21,70.58,69.73,77.74,78.31,82.62,95.75,99.51,107.08,116.39,158.81,157.81,157.74,144.1,147.43,149.88,141.24,137.12,135.07,137.02,134.35,142.37
09-13-A,105.56,111.76,120.56,109.34,119.76,117.45,123.3,138.25,145.33,142.03,136.71,135.12,164.36,161.18,142.7,170.27,164.44,154.41,147.85,172.91,150.64,179.06,146.81,173.71,186.76,178.05,190.36,179.39,191.11,192.08,174.71,207.92,201.91,220.15,195.75,212.29,277.33,296.95,311.96,292.64,333.14,317.57,321.89,337.38,333.76
27-16-AH,44.93,50.68,52.58,51.48,52.04,47.25,45.09,49.48,48.83,46.26,41.56,57.58,54.11,48.72,54.37,60.29,54.75,71.58,73.87,77.3,79.15,83.38,85.71,96.24,96.4,96.39,98.64,102.79,117.46,143.79,144.7,155.49,161.03,170.02,186.69,195.41,225.15,222.2,238.16,228.77,206.93,206.62,201.96,219.39,211.37
10-01-AT,52.57,53.5,55.29,45.3,48.33,46.03,48.69,47.51,49.13,48.1,43.3,44.58,51.46,51.39,43.73,49.24,51.22,50.48,43.35,50.83,43.23,49.83,51.26,64.7,64.17,71.17,72.31,80.22,84.76,79.31,83.78,91.68,170.32,112.03,100.39,84.59,77.32,78.62,79.56,75.85,73.82,73.15,68.8,72.31,68.16
04-06-AH,40.36,38.66,39.41,37.34,36.63,36.0,35.41,36.09,37.92,39.1,39.59,33.14,43.23,39.31,34.27,41.14,38.52,34.0,34.0,39.49,32.59,39.58,39.5,39.01,38.53,41.9,43.37,43.32,42.66,45.08,47.07,96.2,155.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-12-BH,58.29,59.9,58.05,52.44,55.36,51.26,51.03,57.14,53.09,57.05,51.26,58.19,62.52,55.9,51.64,56.07,56.91,66.02,70.18,76.67,68.61,87.03,82.52,93.02,99.77,106.63,111.13,129.8,136.83,146.84,152.77,168.46,174.65,168.36,176.96,196.27,186.14,200.76,192.25,194.04,219.16,233.19,238.49,255.09,270.33
18-03-AH,59.77,64.54,65.0,59.81,61.01,57.98,59.69,66.57,63.51,65.33,57.08,60.63,64.1,62.96,57.57,63.82,53.87,68.24,69.4,82.02,81.93,104.4,95.0,112.56,116.25,122.68,126.06,134.53,135.27,133.52,132.62,141.39,137.53,151.78,143.41,156.61,165.22,188.25,228.83,215.36,211.03,200.26,184.58,190.59,180.49
23-05-BH,37.69,42.06,40.19,41.63,41.77,39.8,38.25,42.99,42.98,45.98,39.67,49.42,48.78,46.59,47.98,53.81,52.09,59.17,62.13,67.39,63.96,71.48,72.39,81.72,82.11,86.48,98.18,89.83,90.71,91.49,98.85,102.08,110.14,116.11,114.74,116.64,134.22,141.15,147.89,154.39,159.34,157.28,155.17,156.77,151.84
18-09-A,32.34,33.34,32.76,32.17,32.61,30.57,34.48,36.2,36.64,35.86,32.24,36.95,41.34,45.95,45.63,53.72,55.23,57.33,59.03,66.68,61.45,74.47,69.13,83.2,82.4,86.5,86.39,92.4,104.48,103.93,104.66,107.1,107.72,130.96,168.69,216.17,204.3,180.37,178.62,155.43,127.0,126.27,126.37,127.93,136.38
08-12-AHH,56.79,64.31,65.39,67.46,70.9,73.65,72.8,80.21,83.04,87.21,87.96,81.81,107.19,102.14,85.77,101.02,98.37,93.4,95.32,100.34,103.87,94.2,105.08,93.86,126.64,127.74,124.46,126.67,119.39,125.14,116.61,147.42,137.99,148.91,141.43,157.21,148.75,191.59,222.06,226.16,214.49,190.85,221.65,197.54,231.26
08-07-AT,42.14,44.83,44.88,43.21,41.71,43.65,39.72,45.27,45.62,43.94,42.14,39.17,51.06,46.83,41.51,47.18,46.88,40.36,41.46,45.93,45.36,50.57,50.55,57.18,64.29,65.71,69.07,73.16,77.73,81.23,83.98,97.09,97.23,109.16,152.45,163.49,150.1,139.55,146.16,152.23,142.94,144.59,160.97,137.55,147.6
08-07-AH,41.41,40.21,38.34,34.77,35.42,34.9,33.77,37.48,35.06,34.55,36.73,34.76,40.54,36.14,31.85,39.34,39.28,32.86,34.49,35.62,37.42,42.68,44.91,51.28,58.1,58.74,58.64,64.29,68.04,70.96,77.2,84.14,82.39,107.32,121.44,156.26,136.67,128.3,132.65,133.83,127.53,130.95,150.01,128.69,135.09
04-01-AT,51.99,54.97,54.47,54.23,51.1,55.92,53.43,53.77,53.86,54.97,57.44,49.74,62.35,58.1,51.85,60.02,52.93,52.37,58.36,69.31,60.77,71.18,76.95,82.13,94.74,98.31,105.9,109.38,120.3,125.83,125.75,142.84,154.17,181.87,189.27,200.49,161.6,158.75,158.11,159.23,165.48,153.58,152.87,150.46,154.06
