,cell_index,name,age,X,signal_level,dz/dt,time_win_left,time_win_right,mortality,status
5199,446,22-14-ATH,17.5,0.8338130075557636,0.1135491717736491,0.012238648016706821,14,21,85,1
5200,446,22-14-ATH,24.5,2.014087912212261,0.1274795723147211,0.026332165429086528,21,28,85,1
5201,446,22-14-ATH,31.5,0.2931681989204816,0.1437740169911091,0.003398483780958036,28,35,85,1
5202,446,22-14-ATH,38.5,0.2947306573327456,0.14683407419631836,0.0033453935328694923,35,42,85,1
5203,446,22-14-ATH,45.5,0.3740774386059456,0.15142453147774346,0.004117314358461219,42,49,85,1
5204,446,22-14-ATH,52.5,0.7032750817903896,0.15960461870248602,0.007343929930387777,49,56,85,1
5205,446,22-14-ATH,59.5,3.1324072619043983,0.1845535612840772,0.028288149703080752,56,63,85,1
5206,446,22-14-ATH,66.5,3.225191743319154,0.2304863685738773,0.023321637654574137,63,70,85,1
5207,446,22-14-ATH,73.5,13.372994455359809,0.3568577564033274,0.062457165894064706,70,77,85,1
5208,446,22-14-ATH,80.5,27.043165348088166,0.6680344116306668,0.067469491783804,77,84,85,1
5209,447,22-14-ATT,10.5,0.39355765370624196,0.09177070610518405,0.007147481485997673,7,14,83,1
5210,447,22-14-ATT,17.5,0.7824128983573472,0.10575792102973024,0.0123302489739342,14,21,83,1
5211,447,22-14-ATT,24.5,1.2315941984281906,0.1106697530521683,0.018547588123854597,21,28,83,1
5212,447,22-14-ATT,31.5,0.3265478966424065,0.12531717160369055,0.004342952266152032,28,35,83,1
5213,447,22-14-ATT,38.5,0.42105139412674786,0.12459792844183712,0.005632134757939904,35,42,83,1
5214,447,22-14-ATT,45.5,1.2029924803322003,0.13701317131249954,0.014633538133697815,42,49,83,1
5215,447,22-14-ATT,52.5,3.596019071610402,0.16685805549578483,0.03591894380851199,49,56,83,1
5216,447,22-14-ATT,59.5,11.66793937575095,0.271748203322568,0.07156097221061773,56,63,83,1
5217,447,22-14-ATT,66.5,13.981106329110583,0.5017836411021726,0.046438030204946995,63,70,83,1
5218,447,22-14-ATT,73.5,13.982719815684673,0.729791367484239,0.031933144271735193,70,77,83,1
5219,448,22-17-AHH,3.5,7.451652036676463,0.0941243290893625,0.13194697036657044,0,7,64,1
5220,448,22-17-AHH,10.5,-0.7256510261125897,0.13609343060174106,-0.008886677126932854,7,14,64,1
5221,448,22-17-AHH,17.5,1.3297536071372082,0.14010481543182815,0.015818557021501714,14,21,64,1
5222,448,22-17-AHH,24.5,0.2311010364542376,0.1440229159192013,0.0026743549221464203,21,28,64,1
5223,448,22-17-AHH,31.5,-0.3001727330615027,0.1469880103333936,-0.003403596574313106,28,35,64,1
5224,448,22-17-AHH,38.5,-0.047548544985183724,0.1384034911844048,-0.0005725836414756261,35,42,64,1
5225,448,22-17-AHH,45.5,6.502643288315596,0.18538245547434132,0.05846151290923737,42,49,64,1
5226,448,22-17-AHH,52.5,12.560116778655392,0.31559157290360573,0.06633107396318084,49,56,64,1
5227,448,22-17-AHH,59.5,8.898846013228052,0.5090625847272265,0.029134747803148682,56,63,64,1
5228,449,22-17-AHT,17.5,0.44962684653495044,0.09621935077351502,0.007788226292673363,14,21,70,1
5229,449,22-17-AHT,24.5,0.49804230912971903,0.09744824212963758,0.008518065560504795,21,28,70,1
5230,449,22-17-AHT,31.5,0.21134160742855934,0.1056706761135616,0.0033333373584398486,28,35,70,1
5231,449,22-17-AHT,38.5,-0.2881870448685309,0.09942207838168926,-0.004831037021813168,35,42,70,1
5232,449,22-17-AHT,45.5,5.69651675046765,0.13140810889750804,0.07224968583573303,42,49,70,1
5233,449,22-17-AHT,52.5,8.92514200184966,0.24146045286034498,0.06160527114704335,49,56,70,1
5234,449,22-17-AHT,59.5,8.31236622718462,0.3688380745538889,0.037561045531242315,56,63,70,1
5235,449,22-17-AHT,66.5,23.02659196810578,0.632808278950464,0.060646572677315574,63,70,70,1
5236,450,22-17-AT,3.5,6.5161014465963225,0.08355675122762142,0.12997356788173547,0,7,78,1
5237,450,22-17-AT,10.5,0.18126560942058262,0.12258345059526721,0.0024645198643638805,7,14,78,1
5238,450,22-17-AT,17.5,1.890264404790279,0.14047644995894265,0.022426824393492653,14,21,78,1
5239,450,22-17-AT,24.5,1.20252362849133,0.15204280016598273,0.013181854354810554,21,28,78,1
5240,450,22-17-AT,31.5,1.4671256705038545,0.17415186727940807,0.01404067317243679,28,35,78,1
